Band,Metric,Lobe,Comparison,N_pairs,Pre (mean +/- SD),Ictal (mean +/- SD),Post (mean +/- SD),Cohens_d,p_value,p_corr
HFO,D,PL,Pre vs Ictal,30,2.442 +/- 2.023,4.144 +/- 2.334,2.930 +/- 2.278,-0.513,0.009,0.132
HFO,D,PL,Ictal vs Post,30,2.442 +/- 2.023,4.144 +/- 2.334,2.930 +/- 2.278,0.369,0.052,0.785
HFO,D,PL,Pre vs Post,30,2.442 +/- 2.023,4.144 +/- 2.334,2.930 +/- 2.278,-0.233,0.211,1.000
HFO,B,FL,Pre vs Ictal,45,0.310 +/- 0.134,0.301 +/- 0.128,0.260 +/- 0.108,0.074,0.620,1.000
HFO,B,FL,Ictal vs Post,45,0.310 +/- 0.134,0.301 +/- 0.128,0.260 +/- 0.108,0.298,0.052,0.782
HFO,B,FL,Pre vs Post,45,0.310 +/- 0.134,0.301 +/- 0.128,0.260 +/- 0.108,0.437,0.005,0.080
HFO,B,INS,Pre vs Ictal,41,0.194 +/- 0.103,0.194 +/- 0.114,0.235 +/- 0.092,0.001,0.997,1.000
HFO,B,INS,Ictal vs Post,41,0.194 +/- 0.103,0.194 +/- 0.114,0.235 +/- 0.092,-0.278,0.083,1.000
HFO,B,INS,Pre vs Post,41,0.194 +/- 0.103,0.194 +/- 0.114,0.235 +/- 0.092,-0.410,0.012,0.184
HFO,B,MTL,Pre vs Ictal,53,0.082 +/- 0.103,0.092 +/- 0.104,0.184 +/- 0.104,-0.116,0.403,1.000
HFO,B,MTL,Ictal vs Post,53,0.082 +/- 0.103,0.092 +/- 0.104,0.184 +/- 0.104,-0.739,<0.001,<0.001
HFO,B,MTL,Pre vs Post,53,0.082 +/- 0.103,0.092 +/- 0.104,0.184 +/- 0.104,-1.013,<0.001,<0.001
HFO,B,LTL,Pre vs Ictal,53,0.268 +/- 0.087,0.235 +/- 0.089,0.247 +/- 0.099,0.363,0.011,0.161
HFO,B,LTL,Ictal vs Post,53,0.268 +/- 0.087,0.235 +/- 0.089,0.247 +/- 0.099,-0.088,0.526,1.000
HFO,B,LTL,Pre vs Post,53,0.268 +/- 0.087,0.235 +/- 0.089,0.247 +/- 0.099,0.149,0.283,1.000
HFO,B,PL,Pre vs Ictal,30,0.171 +/- 0.128,0.144 +/- 0.081,0.133 +/- 0.115,0.203,0.276,1.000
HFO,B,PL,Ictal vs Post,30,0.171 +/- 0.128,0.144 +/- 0.081,0.133 +/- 0.115,0.093,0.615,1.000
HFO,B,PL,Pre vs Post,30,0.171 +/- 0.128,0.144 +/- 0.081,0.133 +/- 0.115,0.348,0.066,0.994
